,activity_id,join_date,userid,weight,feedback
122,458360,2024-09-08T07:54:51.068209Z,11009,7.0,"bread 
 bake-off bread rolls"
123,457742,2024-09-03T19:20:35.578672Z,16010,5.0,"3 small bags of assorted buns 
 small baguettes 
 1 pack of shredded lettuce 
 a ready-to-heat chicken noodle meal 
 3 small packs of shredded mixed cheese 
 a small tub of salmon orzo salad"
124,457403,2024-09-02T19:15:41.193075Z,16010,6.0,"9 pieces of bread assorted buns 
 small baguettes 
 3 bags of pre-cut spaghetti veggies 
 3 packs of mixed salad leaves 
 chopped lettuce"
125,457403,2024-09-02T23:16:54.455205Z,2834,0.0,"everything was fine bread 
 pastries 
 3 packages of salad 
 two of pre diced veggies"
126,456895,2024-08-31T21:46:52.091422Z,4456,8.0,"the shopkeeper told me that one bag full of bread is from yesterday because nobody  yesterday 
 i got two bags of bread"
127,454660,2024-08-31T18:04:57.606357Z,13155,10.0,"2 pax ready to eat salad 
 2 ham salad 
 several big bread 
 1 sliced bread 
 2 bags of pastries"
128,454345,2024-09-02T23:15:19.354501Z,2834,4.0,"everything was fine got 4 pre made meals 
 some bread"
129,456492,2024-08-31T10:57:58.639136Z,11009,10.0,"a few breads 
 a few baguettes 
 quite some bread rolls 
 a huge amount of pastries 
 also eggs 
 veggies 
 cheese with sticker"
130,453273,2024-08-27T18:46:59.758169Z,16010,8.0,"8 assorted bread buns 
 5 assorted baguettes 
 1 small tiger bread loaf 
 1 flaky custard pastry 
 1 celebrity chef ready to heat chicken meal 
 425g of seasoned mini potatoes 
 a small box of belgian hoogstraten strawberries 
 6 big navel juice oranges"
131,452068,2024-08-23T18:34:39.843001Z,16010,0.2,just two 75g bags of beef-flavoured japonais flamin hot cheetos
132,454024,2024-08-22T19:53:20.004626Z,13155,1.0,"1 sliced bread 
 several small bread"
133,452980,2024-08-19T19:20:44.693027Z,14081,0.0,"2 bread 
 2 cabbages"
134,452951,2024-08-19T20:46:21.740864Z,13155,7.5,"some meat 
 some vegetables 
 but no bread at all"
