,lat,lon,city,housenumber,postcode,street,name,opening_hours,amenity_type,amenity_extra,website,x,y,statistical_sector
324,50.9024009,4.6758569,Herent,328,3020,Mechelsesteenweg,Tartinne,"Mo-We,Fr 07:00-13:15,14:45-18:00; Sa 07:00-15:00; PH,Su 07:00-13:00",bakery,,https://www.tartinne.be/,171602.37013767337,176940.65132570453,Herent station
325,50.8898846,4.6948733,Wilsele,5,3012,Mechelsesteenweg,Falouche,,bakery,,,172946.1442919954,175554.0388467079,Wilsele mechelse poort
326,50.9145636,4.6576944,Herent,675,3020,Mechelsesteenweg,Buurtslagers vleeshal,,butcher_shop,,,170319.51001851427,178288.51314919628,Hogebeek
327,50.8991298,4.6808741,Herent,210,3020,Mechelsesteenweg,Frituur De Lente,"Mo-Sa 12:00-14:00, 17:00-22:30; Su 17:00-22:30",fast_food,friture,https://www.facebook.com/Frituur-De-Lente-2183132441943299/,171956.8216554419,176578.24419785198,Bergen
328,50.8933781,4.6905936,Wilsele,97,3012,Mechelsesteenweg,De Broodjesbar,,fast_food,sandwich_shop,http://www.debroodjesbar.be/,172643.3347296053,175941.3429966541,Kareelveld
329,50.91814,4.6509709,Herent,736,3020,Mechelsesteenweg,t Patatje,,fast_food,,,169845.17341763174,178684.5367631819,Kempen
330,50.8896167,4.6949847,Wilsele,1,3012,Mechelsesteenweg,MBS Dagwinkel,,grocery_shop,night_market,,172954.11364880996,175524.27188571263,Wilsele mechelse poort
331,50.9032443,4.6745351,Herent,360,3020,Mechelsesteenweg,Cafe Tunnel 2.0,,pub,,,171509.0051746949,177034.08788757864,Herent station
332,50.9032844,4.6748978,Herent,361,3020,Mechelsesteenweg,Hannah vzw,,pub,,https://www.hannah2.be,171534.4992428983,177038.65403177124,Herent station
333,50.8919658,4.6927598,Wilsele,61,3012,Mechelsesteenweg,Topinamboer,,restaurant,fine_dining,http://www.restauranttopinamboer.be,172796.42516713776,175784.90136355534,Roeselberg
334,50.9120555,4.6616252,Herent,635,3020,Mechelsesteenweg,Okay,Mo-Sa 08:30-19:30,supermarket,,,170597.041036222,178010.5926383352,Zitteblok
335,50.8819391,4.6989501,Leuven,75,3000,Mechelsestraat,De Broodenier,"Mo,We,Th 07:30-16:00; Sa 09:00-14:00; Su 07:30-12:00",bakery,,https://www.broodenier.be/,173236.9281973042,174671.44499946665,Lei - vismarkt
336,50.8806784,4.6999241,Leuven,30,3000,Mechelsestraat,Les Tartes de Françoise,,bakery,patisserie,https://www.tartes.be/,173306.09759443754,174531.50973325223,Lei - vismarkt
337,50.8809508,4.6986251,Leuven,10,3000,Mechelsestraat,Bar Jérome,We-Sa 11:00-01:00,bar,,,173214.54660108697,174561.40394548792,Lei - vismarkt
338,50.8818088,4.6990593,Leuven,67,3000,Mechelsestraat,Sinatra,Tu-Th 17:00-24:00; Fr-Su 16:00-02:00,bar,,,173244.67746474606,174656.98458253965,Lei - vismarkt
339,50.8819905,4.699126,Leuven,56,3000,Mechelsestraat,De Maekerij,Tu-Th 09:00-21:00; Fr-Sa 09:00-17:00,cafe,lunch_restaurant,,173249.28119694997,174677.21794585977,Lei - vismarkt
340,50.8807864,4.6997388,Leuven,36,3000,Mechelsestraat,Elsen Kaasambacht,Tu-Fr 09:30-18:00; Sa 09:00-18:00,grocery_shop,cheese shop,https://www.elsenkaasambacht.be/,173293.00359146242,174543.4654636113,Lei - vismarkt
341,50.8806004,4.6997623,Leuven,23,3000,Mechelsestraat,De Walvis,Tu-Fr 09:30-18:00; Sa 10:00-17:45,grocery_shop,fish_shop,https://www.walvis.be/,173294.74980620676,174522.78208517004,Lei - vismarkt
342,50.8807518,4.6997982,Leuven,34,3000,Mechelsestraat,Gigi by Zoff,,grocery_shop,italian,,173297.20100469104,174539.63520935643,Lei - vismarkt
343,50.8814663,4.6992644,Leuven,51,3000,Mechelsestraat,De Blauwe Kater,Mo-Sa 11:00-26:00; Su 12:00-26:00,pub,bar,http://www.blauwekater.be,173259.28080327052,174618.94899638928,Lei - vismarkt
344,50.8806309,4.6997026,Leuven,25,3000,Mechelsestraat,Zoff,,restaurant,italian,https://www.zoff.be/,173290.5333060259,174526.15616017487,Lei - vismarkt
